brand,model,category,lifespan_km
"bontrager","Bontrager AT-550 700 rear","wheel",800
"bontrager","Bontrager AT-750 Bolt-On 700 front","wheel",800
"bontrager","Bontrager AT-750 Bolt-On 700 rear","wheel",800
"bontrager","Bontrager AW1 Hard-Case 700x23","tyre",3000
"bontrager","Bontrager AW1 Hard-Case 700x25","tyre",3000
"bontrager","Bontrager AW1 Hard-Case 700x28","tyre",3000
"bontrager","Bontrager AW1 Hard-Case 700x32","tyre",3000
"bontrager","Bontrager AW1 Hard-Case Lite 700x23","tyre",3000
"bontrager","Bontrager AW1 Hard-Case Lite 700x25","tyre",3000
"bontrager","Bontrager AW1 Hard-Case Lite 700x28","tyre",3000
"bontrager","Bontrager AW1 Hard-Case Lite 700x32","tyre",3000
"bontrager","Bontrager AW3 Hard-Case 700x25","tyre",3000
"bontrager","Bontrager AW3 Hard-Case 700x28","tyre",3000
"bontrager","Bontrager AW3 Hard-Case 700x32","tyre",3000
"bontrager","Bontrager AW3 Hard-Case 700x38","tyre",3000
"bontrager","Bontrager AW3 Hard-Case Lite 700x25","tyre",3000
"bontrager","Bontrager AW3 Hard-Case Lite 700x28","tyre",3000
"bontrager","Bontrager AW3 Hard-Case Lite 700x32","tyre",3000
"bontrager","Bontrager AW3 Hard-Case Lite 700x38","tyre",3000
"bontrager","Bontrager Aeolus Comp 5 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Comp 5 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus Comp 5 TLR Disc 700 front","wheel",800
"bontrager","Bontrager Aeolus Comp 5 TLR Disc 700 rear","wheel",800
"bontrager","Bontrager Aeolus Elite 35 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Elite 35 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus Elite 35V TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Elite 35V TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus Elite 50 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Elite 50 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus Pro 3 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Pro 3 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus Pro 37 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Pro 37 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus Pro 37V TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Pro 37V TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus Pro 3V TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Pro 3V TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus Pro 49V TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Pro 49V TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus Pro 5 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Pro 5 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus Pro 51 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus Pro 51 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus RSL 37 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus RSL 37 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus RSL 37 Tubular 700 front","wheel",800
"bontrager","Bontrager Aeolus RSL 37 Tubular 700 rear","wheel",800
"bontrager","Bontrager Aeolus RSL 37V TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus RSL 37V TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus RSL 51 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus RSL 51 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus RSL 62 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus RSL 62 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus RSL 75 TLR 700 front","wheel",800
"bontrager","Bontrager Aeolus RSL 75 TLR 700 rear","wheel",800
"bontrager","Bontrager Aeolus RSL TLR 700x26","tyre",3000
"bontrager","Bontrager Aeolus RSL TLR 700x28","tyre",3000
"bontrager","Bontrager Aeolus RSL TLR 700x30","tyre",3000
"bontrager","Bontrager Aeolus RSL TLR 700x32","tyre",3000
"bontrager","Bontrager Affinity TLR 24H 700 front","wheel",800
"bontrager","Bontrager Affinity TLR 24H 700 rear","wheel",800
"bontrager","Bontrager Affinity TLR 24H Disc 700 front","wheel",800
"bontrager","Bontrager Affinity TLR 24H Disc 700 rear","wheel",800
"bontrager","Bontrager Affinity TLR 28H 700 front","wheel",800
"bontrager","Bontrager Affinity TLR 28H 700 rear","wheel",800
"bontrager","Bontrager Affinity TLR 32H 700 front","wheel",800
"bontrager","Bontrager Affinity TLR 32H 700 rear","wheel",800
"bontrager","Bontrager Affinity TLR Shimano Acera 700 front","wheel",800
"bontrager","Bontrager Affinity TLR Shimano Acera 700 rear","wheel",800
"bontrager","Bontrager Affinity TLR Shimano M475 700 front","wheel",800
"bontrager","Bontrager Affinity TLR Shimano M475 700 rear","wheel",800
"bontrager","Bontrager Approved TLR 28H 700 rear","wheel",800
"bontrager","Bontrager Approved TLR 32H Clincher 700 front","wheel",800
"bontrager","Bontrager Approved TLR 32H Clincher 700 rear","wheel",800
"bontrager","Bontrager Approved TLR 36H Clincher 700 front","wheel",800
"bontrager","Bontrager Approved TLR 36H Clincher 700 rear","wheel",800
"bontrager","Bontrager Approved TLR 700 front","wheel",800
"bontrager","Bontrager Approved TLR 700 rear","wheel",800
"bontrager","Bontrager Approved TLR DC-22/20 700 front","wheel",800
"bontrager","Bontrager Approved TLR DC-22/20 700 rear","wheel",800
"bontrager","Bontrager Approved TLR Dynamo 700 front","wheel",800
