name,brand,model,category,life_target_km,pbg_id
"26"" 1.8""","generic","26"" 1.8""","tyre",2000,"13adc2f8-3ab9-44d1-8a71-8ce40e4e2e2d"
"26"" 1.85""","generic","26"" 1.85""","tyre",2000,"ba06063f-255c-4d4a-be72-e6e5fa91440a"
"26"" 1.9""","generic","26"" 1.9""","tyre",2000,"93528087-361a-4bcd-b600-f78d18e6884b"
"26"" 1.95""","generic","26"" 1.95""","tyre",2000,"bb96fa69-3c5f-44aa-a716-a3c57876794d"
"26"" 2.0""","generic","26"" 2.0""","tyre",2000,"b3b82b99-812f-4804-b8e7-eea6489bff11"
"26"" 2.1""","generic","26"" 2.1""","tyre",2000,"5ff48602-a717-471d-8634-55c288c63a00"
"26"" 2.2""","generic","26"" 2.2""","tyre",2000,"e2fe0287-303d-4118-b8e4-32bd9c8919c8"
"26"" 2.25""","generic","26"" 2.25""","tyre",2000,"eee7a69b-58ff-4bc6-9cf2-f2a1c43acf49"
"26"" 2.3""","generic","26"" 2.3""","tyre",2000,"f8b0e2dd-ab5f-4160-883d-e794e1e26508"
"26"" 2.35""","generic","26"" 2.35""","tyre",2000,"75901cd2-a77b-4d85-a7b5-82cd6b689557"
"26"" 2.4""","generic","26"" 2.4""","tyre",2000,"bd54b722-80aa-48c9-a400-c593ea6668c8"
"26"" 2.5""","generic","26"" 2.5""","tyre",2000,"9e25b906-cb6f-477a-880e-cb286af7af4a"
"26"" 2.6""","generic","26"" 2.6""","tyre",2000,"b9f82774-19b4-4b03-b746-08cc39132e4d"
"26"" 2.7""","generic","26"" 2.7""","tyre",2000,"7fe5a7b0-8948-4306-bdbe-e6ca3034c4d8"
"26"" 2.8""","generic","26"" 2.8""","tyre",2000,"70695228-4bcd-424f-89c0-13e5c7760074"
"26"" Presta","generic","26"" presta","inner-tube",,"c970bc52-892a-42a9-8bf7-22678420ffec"
"26"" Schrader","generic","26"" schrader","inner-tube",,"2845cb08-d496-4363-9384-70b6fc6058eb"
"27.5"" 1.0""","generic","27.5"" 1.0""","tyre",2000,"c5b7a03b-bf15-456d-94b4-151424183041"
"27.5"" 1.1""","generic","27.5"" 1.1""","tyre",2000,"475db97c-c1a6-408a-9a22-0d79387f2dd5"
"27.5"" 1.2""","generic","27.5"" 1.2""","tyre",2000,"9133d2ea-2142-47db-ba9a-89fddba50801"
"27.5"" 1.3""","generic","27.5"" 1.3""","tyre",2000,"fee78daf-97eb-45eb-b9c5-5829fe5b84ff"
"27.5"" 1.35""","generic","27.5"" 1.35""","tyre",2000,"7f28910e-4ed1-42a1-8da8-b2a106328586"
"27.5"" 1.4""","generic","27.5"" 1.4""","tyre",2000,"8b8b0004-2827-455c-908e-1504984fe83c"
"27.5"" 1.5""","generic","27.5"" 1.5""","tyre",2000,"07cb6a44-c23a-42ad-a7e9-cfb9552d6515"
"27.5"" 1.75""","generic","27.5"" 1.75""","tyre",2000,"7a93d1b5-2ce3-413f-8691-797a74b4c60d"
"27.5"" 1.8""","generic","27.5"" 1.8""","tyre",2000,"566f8e7f-3fa3-4ec5-923f-b4ca142586fc"
"27.5"" 1.85""","generic","27.5"" 1.85""","tyre",2000,"8b2261e7-2393-4b06-a0a6-a603d582e984"
"27.5"" 1.9""","generic","27.5"" 1.9""","tyre",2000,"0646ed31-5b64-4ac1-b6db-86ddbe8ba7c4"
"27.5"" 1.95""","generic","27.5"" 1.95""","tyre",2000,"34874028-fa26-4ded-8b12-320ac0d97336"
"27.5"" 2.0""","generic","27.5"" 2.0""","tyre",2000,"31de26c6-e568-469a-ae9b-484a126f4c8a"
"27.5"" 2.1""","generic","27.5"" 2.1""","tyre",2000,"48d27789-72ce-408b-bb19-66c1f04eea7c"
"27.5"" 2.2""","generic","27.5"" 2.2""","tyre",2000,"2cd12747-b882-4e46-9e6d-6736ea5d9bd1"
"27.5"" 2.25""","generic","27.5"" 2.25""","tyre",2000,"9499a423-bd25-4417-b255-7a49fbf2deca"
"27.5"" 2.3""","generic","27.5"" 2.3""","tyre",2000,"2d67b0be-30d5-49c4-833b-eedce004a0e3"
"27.5"" 2.35""","generic","27.5"" 2.35""","tyre",2000,"103bdadc-00a6-47ec-a481-6e703ee230ea"
"27.5"" 2.4""","generic","27.5"" 2.4""","tyre",2000,"36d3c77e-4640-4da6-a57e-43fc4c1bebff"
"27.5"" 2.5""","generic","27.5"" 2.5""","tyre",2000,"10a9d7b5-8f70-493a-aa15-d99a1e50b175"
"27.5"" 2.6""","generic","27.5"" 2.6""","tyre",2000,"f23cd77b-daa0-4110-a1de-061d5258a20d"
"27.5"" 2.7""","generic","27.5"" 2.7""","tyre",2000,"399e3874-4517-4715-83cb-8acd368373e2"
"27.5"" 2.8""","generic","27.5"" 2.8""","tyre",2000,"01124d1e-6187-4bf7-8055-472120c7fda9"
"27.5"" Presta","generic","27.5"" presta","inner-tube",,"40a14ed5-6c8c-4d2f-af54-803e9ea418f5"
"27.5"" Schrader","generic","27.5"" schrader","inner-tube",,"910e60be-ad66-4d78-acd1-744543ae72c5"
"29"" 1.0""","generic","29"" 1.0""","tyre",2000,"b32aec56-721f-41c7-9311-f1455909c591"
"29"" 1.1""","generic","29"" 1.1""","tyre",2000,"94ec2a4c-8481-4c82-a6a6-2739fb9e0628"
"29"" 1.2""","generic","29"" 1.2""","tyre",2000,"bc17c057-5bc9-421d-a395-b15a6711f0f5"
